A, iteration number, da_distance, objective_energy, objective_energy_unperturbed, column_constraint_energy, row_constraint_energy
168.26000324162376,10000000,537,2122.0,537.0,0.0,0.0
168.26000324162376,10000000,547,2134.0,547.0,0.0,0.0
168.26000324162376,10000000,555,2140.0,555.0,0.0,0.0
168.26000324162376,10000000,558,2144.0,558.0,0.0,0.0
168.26000324162376,10000000,560,2147.0,560.0,0.0,0.0
168.26000324162376,10000000,563,2148.0,563.0,0.0,0.0
168.26000324162376,10000000,561,2149.0,561.0,0.0,0.0
168.26000324162376,10000000,563,2150.0,563.0,0.0,0.0
168.26000324162376,10000000,570,2155.0,570.0,0.0,0.0
168.26000324162376,10000000,570,2157.0,570.0,0.0,0.0
168.26000324162376,10000000,574,2158.0,574.0,0.0,0.0
168.26000324162376,10000000,574,2158.0,574.0,0.0,0.0
168.26000324162376,10000000,573,2159.0,573.0,0.0,0.0
168.26000324162376,10000000,574,2160.0,574.0,0.0,0.0
168.26000324162376,10000000,575,2162.0,575.0,0.0,0.0
168.26000324162376,10000000,577,2164.0,577.0,0.0,0.0
168.26000324162376,10000000,579,2165.0,579.0,0.0,0.0
168.26000324162376,10000000,581,2167.0,581.0,0.0,0.0
168.26000324162376,10000000,583,2168.0,583.0,0.0,0.0
168.26000324162376,10000000,582,2168.0,582.0,0.0,0.0
168.26000324162376,10000000,582,2169.0,582.0,0.0,0.0
168.26000324162376,10000000,585,2172.0,585.0,0.0,0.0
168.26000324162376,10000000,585,2172.0,585.0,0.0,0.0
168.26000324162376,10000000,587,2173.0,587.0,0.0,0.0
168.26000324162376,10000000,588,2174.0,588.0,0.0,0.0
168.26000324162376,10000000,589,2174.0,589.0,0.0,0.0
168.26000324162376,10000000,587,2175.0,587.0,0.0,0.0
168.26000324162376,10000000,591,2177.0,591.0,0.0,0.0
168.26000324162376,10000000,593,2180.0,593.0,0.0,0.0
168.26000324162376,10000000,597,2181.0,597.0,0.0,0.0
168.26000324162376,10000000,595,2181.0,595.0,0.0,0.0
168.26000324162376,10000000,596,2182.0,596.0,0.0,0.0
168.26000324162376,10000000,595,2182.0,595.0,0.0,0.0
168.26000324162376,10000000,597,2183.0,597.0,0.0,0.0
168.26000324162376,10000000,597,2183.0,597.0,0.0,0.0
168.26000324162376,10000000,597,2183.0,597.0,0.0,0.0
168.26000324162376,10000000,601,2185.0,601.0,0.0,0.0
168.26000324162376,10000000,599,2186.0,599.0,0.0,0.0
168.26000324162376,10000000,599,2186.0,599.0,0.0,0.0
168.26000324162376,10000000,600,2187.0,600.0,0.0,0.0
168.26000324162376,10000000,605,2191.0,605.0,0.0,0.0
168.26000324162376,10000000,605,2191.0,605.0,0.0,0.0
168.26000324162376,10000000,608,2191.0,608.0,0.0,0.0
168.26000324162376,10000000,607,2192.0,607.0,0.0,0.0
168.26000324162376,10000000,606,2192.0,606.0,0.0,0.0
168.26000324162376,10000000,603,2192.0,603.0,0.0,0.0
168.26000324162376,10000000,609,2193.0,609.0,0.0,0.0
168.26000324162376,10000000,608,2193.0,608.0,0.0,0.0
168.26000324162376,10000000,607,2193.0,607.0,0.0,0.0
168.26000324162376,10000000,608,2194.0,608.0,0.0,0.0
168.26000324162376,10000000,609,2194.0,609.0,0.0,0.0
168.26000324162376,10000000,609,2195.0,609.0,0.0,0.0
168.26000324162376,10000000,609,2195.0,609.0,0.0,0.0
168.26000324162376,10000000,609,2196.0,609.0,0.0,0.0
168.26000324162376,10000000,612,2197.0,612.0,0.0,0.0
168.26000324162376,10000000,613,2197.0,613.0,0.0,0.0
168.26000324162376,10000000,612,2198.0,612.0,0.0,0.0
168.26000324162376,10000000,612,2198.0,612.0,0.0,0.0
168.26000324162376,10000000,612,2198.0,612.0,0.0,0.0
168.26000324162376,10000000,614,2199.0,614.0,0.0,0.0
168.26000324162376,10000000,615,2199.0,615.0,0.0,0.0
168.26000324162376,10000000,611,2200.0,611.0,0.0,0.0
168.26000324162376,10000000,614,2200.0,614.0,0.0,0.0
168.26000324162376,10000000,615,2200.0,615.0,0.0,0.0
168.26000324162376,10000000,618,2201.0,618.0,0.0,0.0
168.26000324162376,10000000,618,2201.0,618.0,0.0,0.0
168.26000324162376,10000000,618,2202.0,618.0,0.0,0.0
168.26000324162376,10000000,616,2202.0,616.0,0.0,0.0
168.26000324162376,10000000,619,2203.0,619.0,0.0,0.0
168.26000324162376,10000000,619,2203.0,619.0,0.0,0.0
168.26000324162376,10000000,618,2203.0,618.0,0.0,0.0
168.26000324162376,10000000,617,2203.0,617.0,0.0,0.0
168.26000324162376,10000000,619,2205.0,619.0,0.0,0.0
168.26000324162376,10000000,619,2205.0,619.0,0.0,0.0
168.26000324162376,10000000,618,2205.0,618.0,0.0,0.0
168.26000324162376,10000000,616,2206.0,616.0,0.0,0.0
168.26000324162376,10000000,622,2207.0,622.0,0.0,0.0
168.26000324162376,10000000,624,2209.0,624.0,0.0,0.0
168.26000324162376,10000000,622,2209.0,622.0,0.0,0.0
168.26000324162376,10000000,624,2209.0,624.0,0.0,0.0
168.26000324162376,10000000,627,2211.0,627.0,0.0,0.0
168.26000324162376,10000000,625,2211.0,625.0,0.0,0.0
168.26000324162376,10000000,625,2212.0,625.0,0.0,0.0
168.26000324162376,10000000,628,2212.0,628.0,0.0,0.0
168.26000324162376,10000000,627,2213.0,627.0,0.0,0.0
168.26000324162376,10000000,627,2213.0,627.0,0.0,0.0
168.26000324162376,10000000,626,2213.0,626.0,0.0,0.0
168.26000324162376,10000000,631,2214.0,631.0,0.0,0.0
168.26000324162376,10000000,631,2215.0,631.0,0.0,0.0
168.26000324162376,10000000,629,2215.0,629.0,0.0,0.0
168.26000324162376,10000000,628,2216.0,628.0,0.0,0.0
168.26000324162376,10000000,632,2217.0,632.0,0.0,0.0
168.26000324162376,10000000,632,2217.0,632.0,0.0,0.0
168.26000324162376,10000000,632,2218.0,632.0,0.0,0.0
168.26000324162376,10000000,634,2218.0,634.0,0.0,0.0
168.26000324162376,10000000,633,2218.0,633.0,0.0,0.0
168.26000324162376,10000000,634,2219.0,634.0,0.0,0.0
168.26000324162376,10000000,632,2219.0,632.0,0.0,0.0
168.26000324162376,10000000,633,2220.0,633.0,0.0,0.0
