A,iterationnumber,da_distance,objective_energy,objective_energy_unperturbed,column_constraint_energy,row_constraint_energy
53.81449618829484,100000000.0,534.4006958765433,534.4006958765435,242.57898303510322,0.0,0.0
53.81449618829484,100000000.0,535.4648671299175,535.4648671299175,243.64315428847738,0.0,0.0
53.81449618829484,100000000.0,539.4510768495286,539.4510768495286,247.6293640080885,0.0,0.0
53.81449618829484,100000000.0,541.2223583185386,541.2223583185382,249.40064547709812,0.0,0.0
53.81449618829484,100000000.0,541.4899702317472,541.4899702317471,249.66825739030693,0.0,0.0
53.81449618829484,100000000.0,541.7832583605407,541.7832583605407,249.96154551910058,0.0,0.0
53.81449618829484,100000000.0,544.2823274485122,544.2823274485122,252.46061460707205,0.0,0.0
53.81449618829484,100000000.0,544.6705958812009,544.6705958812008,252.8488830397607,0.0,0.0
53.81449618829484,100000000.0,546.0626815087588,546.0626815087589,254.24096866731864,0.0,0.0
53.81449618829484,100000000.0,546.4568093505388,546.4568093505387,254.63509650909867,0.0,0.0
53.81449618829484,100000000.0,546.8337923589954,546.8337923589954,255.0120795175552,0.0,0.0
53.81449618829484,100000000.0,547.5577292564201,547.5577292564201,255.73601641497996,0.0,0.0
53.81449618829484,100000000.0,548.5469516484455,548.5469516484455,256.72523880700544,0.0,0.0
53.81449618829484,100000000.0,548.8012442634949,548.8012442634948,256.9795314220546,0.0,0.0
53.81449618829484,100000000.0,548.894846547099,548.8948465470988,257.0731337056587,0.0,0.0
53.81449618829484,100000000.0,550.2879914259776,550.2879914259775,258.4662785845374,0.0,0.0
53.81449618829484,100000000.0,550.588953481069,550.5889534810692,258.7672406396288,0.0,0.0
53.81449618829484,100000000.0,550.7982934988232,550.7982934988233,258.9765806573831,0.0,0.0
53.81449618829484,100000000.0,551.6436322319202,551.6436322319203,259.82191939048,0.0,0.0
53.81449618829484,100000000.0,553.0064334774344,553.0064334774344,261.18472063599427,0.0,0.0
53.81449618829484,100000000.0,553.531016187024,553.5310161870241,261.70930334558375,0.0,0.0
53.81449618829484,100000000.0,554.1094949455285,554.1094949455286,262.28778210408836,0.0,0.0
53.81449618829484,100000000.0,554.2623788540935,554.2623788540936,262.4406660126534,0.0,0.0
53.81449618829484,100000000.0,554.801817568655,554.8018175686549,262.98010472721467,0.0,0.0
53.81449618829484,100000000.0,555.5846605980225,555.5846605980223,263.7629477565822,0.0,0.0
53.81449618829484,100000000.0,555.7973200489641,555.797320048964,263.97560720752386,0.0,0.0
53.81449618829484,100000000.0,556.2259589889718,556.2259589889719,264.4042461475318,0.0,0.0
53.81449618829484,100000000.0,556.3138029870448,556.3138029870448,264.4920901456045,0.0,0.0
53.81449618829484,100000000.0,556.5952224453615,556.5952224453616,264.7735096039214,0.0,0.0
53.81449618829484,100000000.0,556.6673271309411,556.6673271309412,264.8456142895009,0.0,0.0
53.81449618829484,100000000.0,556.6853121513666,556.6853121513666,264.8635993099264,0.0,0.0
53.81449618829484,100000000.0,556.7214624502349,556.7214624502349,264.8997496087947,0.0,0.0
